,frameworks
0,AngularJS
1,Ruby on Rails
2,ASP.NET MVC
3,React
4,Django
5,Angular
6,Laravel
7,Spring
8,Vue.js
9,Express
10,Meteor
11,Symfony
12,Flask
13,CodeIgniter
14,Ember.js
15,JSF
16,Flex
17,CakePHP
18,Google Web Toolkit
19,Polymer
20,Play
21,Sails.js
22,Zend
23,Yii
24,Tornado
25,Sinatra
26,Grails
27,Phoenix
28,Aurelia
29,Koa
30,Phalcon
31,Dropwizard
32,Vert.x
33,Bottle
34,Dojo
35,Struts
36,Elm
37,Vapor
38,Nancy
39,OpenUI5
40,Wicket
41,Gin
42,Feathers
43,Pyramid
44,Vaadin
45,web.py
46,beego
47,web2py
48,Kohana
49,Durandal
50,Riot.js
51,Yesod
52,Mithril
53,Revel
54,Perfect
55,Compojure
56,Ring
57,Sailor
58,Mojolicious
59,PHP Fat-Free Framework
60,SilverStripe Sapphire
61,(fab)
62,Falcon
63,CherryPy
64,FuelPHP
65,Restlet
66,Martini
67,Scalatra
68,SproutCore
69,Tapestry
70,Ninja
71,Lift
72,Marko
73,Lithium
74,Cappuccino
75,Hanami
76,Dancer2
77,Ktor
78,Inferno
79,ZK
80,Flight
81,CompoundJS
82,Wt
83,Ratpack
84,Grok
85,Catalyst
86,Zope
87,Flatiron
88,Noir
89,Snap
90,Nitrogen
91,Stripes
92,TurboGears
93,Camping
94,seaside
95,Cuba
96,Orbit
97,Zotonic
98,Merb
99,Ramaze
100,Rapidoid
101,PureMVC
102,Horde
103,Aura
104,Tipfy
105,Happstack
106,Cairngorm
107,Mason
108,kotlinx.html
109,Prado
110,Swiz
111,Mate
112,Cocoon
113,Picard
114,JavaScriptMVC
115,UKI
116,Vanilla
117,Qcodo
118,Erlang Web
119,QCubed
120,Solar
121,Xitrum
122,Rum
123,Sin
124,Swiftlet
125,Cutelyst
126,Conjure
127,RestfulX
128,Moustache
129,Apache Click
130,echo
131,simplex
132,MFlow
133,Eliom
134,Circumflex
135,node-router
136,ErlyWeb
137,Grain
138,KumbiaPHP
139,Nerve
140,Wee
141,Hemlock
142,Lemmachine
143,Konstrukt
144,nodemachine
145,Nitro
146,Halcyon
147,Vroom
148,Atomik
149,Akelos
150,Jifty
151,Squatting
152,Mack
153,PHP For Applications
154,Webjure
155,Waves
156,Salvia
157,CGI::Prototype
158,Agavi
159,LiquidLava
160,HydraMVC
161,Roma
162,miku
163,WebGUI
164,Gantry
165,Maveric
166,Cyclone3
167,Quixote
168,Xyster
169,Vork
170,Brutos
171,ClearPress
172,Agile
173,Seagull
174,HybridJava
175,Hadoop
176,Map Reduce
177,YARN
178,Spark
179,Hive
180,HPCC
181,Storm
182,Qubole
183,Cassandra
184,Statwing
185,CouchDB
186,Pentaho
187,Flink
188,Cloudera
189,Rapidminer
190,Openrefine
191,NodeJS
192,.NET Core
193,Node.js
194,TensorFlow
195,Cordova
196,Xamarin
197,Torch/PyTorch
